,N_total,mean_auc,std_auc,n_reps
0,40,0.893287037037037,0.013455029120814857,10
1,60,0.8977777777777778,0.022915310472403378,10
2,80,0.8963425925925925,0.010012102587205864,10
3,100,0.9112962962962963,0.010124397728027116,10
4,120,0.9181944444444445,0.0060329243546444165,10
