N_total,mean_auc,std_auc,n_reps
40,0.8958333333333333,0.015653352191854878,10
60,0.900787037037037,0.02009179252546036,10
80,0.9041666666666666,0.012658460629729182,10
100,0.9168518518518519,0.010551493695415286,10
120,0.9235648148148149,0.005991570725034137,10
